Label,Parent Name,Atlas Name,Substitute,TA Name,Hierarchy,TA ID,Wikipedia Title
24,diencephalon,third ventricle,,third ventricle,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.410,Third ventricle
25,left globus pallidus,left globus pallidus pars interna,,lateral part,globus pallidus medial segment;lentiform nucleus;basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.512,
26,striatum of left cerebral hemisphere,left nucleus accumbens,,nucleus accumbens,ventral striatum;basal forebrain;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.440,Nucleus accumbens
35,metencephalon,pons,,pons,metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.03.010,Pons
40,midbrain,part of midbrain,mesencephalon,mesencephalon,brain;central nervous system;nervous system,A14.1.03.005,Midbrain
41,subcortex of right cerebral hemisphere,white matter of right cerebral hemisphere,,white substance of telencephalon,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.572,
43,right lateral ventricle,right lateral ventricle,,lateral ventricle,telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.272,Lateral ventricles
44,right lateral ventricle,temporal horn of right lateral ventricle,,temporal horn,lateral ventricle;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.287,
46,right hemisphere of cerebellum,white matter of right hemisphere of cerebellum,,white substance of telencephalon,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.572,
50,striatum of right cerebral hemisphere,right caudate nucleus,,caudate nucleus,basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.502,Caudate nucleus
51,right lentiform nucleus,right putamen,,putamen,lentiform nucleus;basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.507,Putamen
52,right globus pallidus,right globus pallidus pars externa,,lateral part,globus pallidus medial segment;lentiform nucleus;basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.512,
53,right limbic lobe,right hippocampus,,hippocampus,limbic lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.321,Hippocampus
54,right limbic lobe,right amygdala,amygdaloid body,amygdaloid body,basal forebrain;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.402,Amygdala
58,striatum of right cerebral hemisphere,right nucleus accumbens,,nucleus accumbens,ventral striatum;basal forebrain;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.440,Nucleus accumbens
61,rhombencephalon,medulla oblongata,myelencephalon,myelencephalon,rhombencephalon;brain;central nervous system;nervous system,A14.1.03.003,Myelencephalon
66,left side of midbrain,left substantia nigra,,substantia nigra,base of peduncle;cerebral peduncle;mesencephalon;brain;central nervous system;nervous system,A14.1.06.111,
71,right side of midbrain,right substantia nigra,,substantia nigra,base of peduncle;cerebral peduncle;mesencephalon;brain;central nervous system;nervous system,A14.1.06.111,
72,epithalamus,pineal body,,pineal gland,endocrine glands,A11.2.00.001,Pineal gland
77,diencephalon,left optic nerve,,optic nerve,eye;sense organs,A15.2.04.024,Optic nerve
78,diencephalon,left optic tract,,optic tract,hypothalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.404,Optic tract
79,left side of midbrain,left red nucleus,,red nucleus,grey substance;tegmentum of midbrain;cerebral peduncle;mesencephalon;brain;central nervous system;nervous system,A14.1.06.323,Red nucleus
84,right side of midbrain,right red nucleus,,red nucleus,grey substance;tegmentum of midbrain;cerebral peduncle;mesencephalon;brain;central nervous system;nervous system,A14.1.06.323,Red nucleus
85,hypothalamus,optic chiasm,,optic chiasm,hypothalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.403,Optic chiasm
96,septum of telencephalon,pellucid septum,septum pellucidum,septum pellucidum,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.262,Septum pellucidum
100,diencephalon,left mammillothalamic tract,,mammillothalamic fasciculus,white substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.671,Mammillothalamic fasciculus
142,telencephalon,anterior commissure,,anterior white commissure,central cord structures;spinal cord;central nervous system;nervous system,A14.1.02.305,Anterior white commissure
200,diencephalon,right mammillothalamic tract,,mammillothalamic fasciculus,white substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.671,Mammillothalamic fasciculus
215,diencephalon,right optic nerve,,optic nerve,eye;sense organs,A15.2.04.024,Optic nerve
216,diencephalon,right optic tract,,optic tract,hypothalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.404,Optic tract
300,vermis,left-I II-v,-,,,,
301,vermis,left-III-v,-,,,,
302,vermis,left-IV-v,-,,,,
303,vermis,left-V-v,-,,,,
304,vermis,left-VI-v,-,,,,
307,vermis,left-VIIB-v,-,,,,
308,vermis,left-VIIIA-v,-,,,,
309,vermis,left-VIIIB-v,-,,,,
310,vermis,left-IX-v,-,,,,
311,vermis,left-X-v,-,,,,
312,medial hemispheric zone,left-III-m,-,,,,
313,medial hemispheric zone,left-IV-m,-,,,,
314,medial hemispheric zone,left-V-m,-,,,,
315,medial hemispheric zone,left-VI-m,-,,,,
316,medial hemispheric zone,left-VIIA crusI-m,-,,,,
317,medial hemispheric zone,left-VIIA crusII-m,-,,,,
318,medial hemispheric zone,left-VIIB-m,-,,,,
319,medial hemispheric zone,left-VIIIA-m,-,,,,
320,medial hemispheric zone,left-VIIIB-m,-,,,,
321,medial hemispheric zone,left-IX-m,-,,,,
323,lateral hemispheric zone 1,left-V-l,-,,,,
324,lateral hemispheric zone 1,left-VI-l,-,,,,
327,lateral hemispheric zone 1,left-VIIA crusI-l1,-,,,,
328,lateral hemispheric zone 1,left-VIIA crusII-l1,-,,,,
329,lateral hemispheric zone 1,left-VIIB-l,-,,,,
330,lateral hemispheric zone 1,left-VIIIA-l,-,,,,
331,lateral hemispheric zone 1,left-VIIIB-l,-,,,,
332,lateral hemispheric zone 2,left-VIIA crusI-l2,-,,,,
333,lateral hemispheric zone 2,left-VIIA crusII-l2,-,,,,
334,vermis,right-I II-v,-,,,,
335,vermis,right-III-v,-,,,,
336,vermis,right-IV-v,-,,,,
337,vermis,right-V-v,-,,,,
338,vermis,right-VI-v,-,,,,
